STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,BASE_PER,TIMELINESS,DECIMALS
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_DIE,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2011,1.26,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_DIE,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2010,1.24,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_DIE,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2009,1.24,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2009,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2008,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2007,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2006,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2005,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2004,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2003,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2002,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2001,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2000,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2022,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2021,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2020,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2019,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2018,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2017,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2016,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2015,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2014,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2013,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2012,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVQOL,_X,Unspecified,_T,Total - all activities,2011,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2005,1.24,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2004,1.15,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2003,1.14,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2002,1.13,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2001,1.06,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2000,0.99,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2021,1.32,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2020,1.1,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2019,1.37,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2018,1.43,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2017,1.4,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2016,1.21,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2015,1.37,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2014,1.61,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2013,1.49,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2012,1.51,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2011,1.53,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2010,1.35,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2009,1.28,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2008,1.59,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,FPRICE_PET,USD_PPP_L,"US dollars per litre, PPP converted",_T,Total - all activities,2007,1.47,A,Normal value,0,Units,Q,2015.0,1.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2009,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2008,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2007,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2006,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2005,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2004,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2003,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2002,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2001,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2000,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2022,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2021,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2020,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2019,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2018,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2017,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2016,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2015,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2014,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2013,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2012,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,ENVRESPROD,_X,Unspecified,HTN,Services,2011,9.675,A,Normal value,0,Units,,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2003,0.07,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2002,0.05,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2001,0.05,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2000,0.05,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2019,0.11,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2018,0.1,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2017,0.04,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2016,0.07,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2015,0.09,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2014,0.09,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2013,0.08,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2012,0.07,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2011,0.06,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2010,0.05,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2009,0.04,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2008,0.05,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2007,0.06,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2006,0.08,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,O3_SC,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2005,0.09,A,Normal value,0,Units,_Z,2015.0,3.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2007,47.36,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2006,42.25,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2005,41.08,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2004,40.47,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2003,42.64,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2002,40.86,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2001,43.8,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2000,49.24,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2019,55.21,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2018,54.22,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2017,53.55,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2016,53.01,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,MYS,Malaysia,A,Annual,DMC_MIN,PT_CONS_MAT_D,Percentage of domestic material consumption,_T,Total - all activities,2015,49.65,E,Estimated value,0,Units,_Z,2015.0,2.0,2.0
